IdCFC;Placa;AnoFabricação;Categoria;PessoasComDeficiência;CodMarca;Marca
0000071879;DKI5339;2011;D - Oníbus;Não;400112;MARCOPOLO/VOLARE W8 ON
0000431690;FQL7H69;2013;D - Oníbus;Não;411354;VW/COMIL PIA URB O
0000132173;DBB3383;2004;D - Oníbus;Não;400105;MARCOPOLO/VOLARE A8 ON
0000340997;ETL2273;2010;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0000491795;EMU3305;2011;D - Oníbus;Não;400147;MARCOPOLO/VOLARE DW9 ON
0000221109;FQV9740;2014;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0000640101;FQF0401;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000340549;DKI0080;2009;D - Oníbus;Não;400132;MARCOPOLO/VOLARE V6 ESC
0031390122;CUU9A99;2021;D - Oníbus;Não;412218;I/MB S312 FFORMA ESCOLAR
0031480122;DTA5459;2007;D - Oníbus;Não;411335;AGRALE/COMIL PIA O
0000340423;ELW6C74;2011;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000851774;LRG4530;2013;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000221893;EZL2C74;2013;D - Oníbus;Não;411354;VW/COMIL PIA URB O
0015221781;EGI2467;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0004090241;FKP2140;2014;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0033760122;EXW0459;2012;D - Oníbus;Não;400123;MARCOPOLO/VOLARE V8 ESC
0000911907;FUJ6412;2014;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0000192096;ECT3998;2008;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000820710;FDZ9547;2015;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0000491767;ELQ0596;2010;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0025780122;EEF3718;2009;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000312166;EFU9084;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000220668;GBY5A09;2013;D - Oníbus;Não;409428;VW/IBRAVA APOLLO
0003100045;FMM5028;2015;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0033820122;DJM1935;2012;D - Oníbus;Não;400123;MARCOPOLO/VOLARE V8 ESC
0000820437;DMN8663;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0037900122;ELW3387;2011;D - Oníbus;Não;411333;VW/COMIL PIA O
0000160360;HKH0E51;2011;D - Oníbus;Não;415770;AGRALE/8.5NEOBUS THUNDER
0000611389;EFW6700;2010;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0035050122;DJP1640;2007;D - Oníbus;Não;400129;MARCOPOLO/VOLARE V6 ON
0000100871;EMU2942;2011;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0002950045;DMN7422;2012;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0002950045;DMN7433;2012;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0001060031;EFO1D04;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0003071690;EOB4448;2012;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0026320122;DJF1887;2006;D - Oníbus;Não;400112;MARCOPOLO/VOLARE W8 ON
0000071480;EMU1334;2011;D - Oníbus;Não;411333;VW/COMIL PIA O
0031810122;CZC4009;2005;D - Oníbus;Não;415705;VW/NEOBUS THUNDER
0031810122;EFW6C83;2011;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0001270087;BTB4929;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0224201256;EFW7523;2010;D - Oníbus;Não;464403;VW/MASCA GRANMICRO O
0000550010;EHE3006;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0025720122;DJL6899;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000101452;ELW6B19;2011;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0001482292;DTB2760;2006;D - Oníbus;Não;409405;VW/9150 WALK WALKBUS L20
0000400850;FTZ6J18;2014;D - Oníbus;Não;409428;VW/IBRAVA APOLLO
0000130185;CZA5777;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0001421662;CNI0877;2005;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0004031018;EFW1H82;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000370073;FTD0D14;2014;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0000731669;ELQ9869;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000192131;ELW2590;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000191221;DTD1520;2007;D - Oníbus;Não;400045;VOLKS/BUSSCAR MICRUSS O
0000281438;EFU2639;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000221935;GAD1135;2013;D - Oníbus;Não;400162;MARCOPOLO/VOLARE W7 EO
0000280612;PWE6G67;2014;D - Oníbus;Não;416065;IVECO/CITYCLASS 70C17
0000550927;DTC5988;2008;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0000341074;DKI4B99;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000341074;DKI9971;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000221508;DBB6190;2006;D - Oníbus;Não;463144;AGRALE/INDUSCAR FOZ O MA
0000850766;DKI4886;2009;D - Oníbus;Não;400129;MARCOPOLO/VOLARE V6 ON
0000850766;EUH6619;2018;D - Oníbus;Não;416630;MARCOPOLO/VOLARE V8L ON
0000281473;ECT2995;2007;D - Oníbus;Não;400045;VOLKS/BUSSCAR MICRUSS O
0000131529;EOB5203;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000042222;EFV3977;2010;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0000130780;DMN9889;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000071137;NRP5485;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000071221;DBC1560;2004;D - Oníbus;Não;400115;MARCOPOLO/VOLARE A6 MO
0000370689;BFY5078;2013;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0000160430;DBA9397;2012;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0005651018;FIL2122;2013;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000012327;EHE2298;2013;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000042327;EHE2289;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0001210031;DJF6920;2006;D - Oníbus;Não;400112;MARCOPOLO/VOLARE W8 ON
0001210031;EPE0A21;2012;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000250346;DKI1988;2009;D - Oníbus;Não;400123;MARCOPOLO/VOLARE V8 ESC
0000281109;EHH9448;2010;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0033220122;FJW6A52;2012;D - Oníbus;Não;400112;MARCOPOLO/VOLARE W8 ON
0000251921;DPB9444;2008;D - Oníbus;Não;400132;MARCOPOLO/VOLARE V6 ESC
0001090766;EHE7I76;2013;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000160353;EFW8655;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0034660122;EEF7554;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000191158;EFW3885;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0034690122;ELW3450;2011;D - Oníbus;Não;411333;VW/COMIL PIA O
0001061753;EGI1999;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000280584;FAB6F67;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000370542;BWV0D35;2022;D - Oníbus;Não;464431;VW/MASCA GRANMICRO E O
0000280283;EJW3984;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0002170143;GZZ7E94;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0001270045;DMN5800;2008;D - Oníbus;Não;400129;MARCOPOLO/VOLARE V6 ON
0000401851;FXS1A05;2013;D - Oníbus;Não;417555;INTERNATIONAL/NEOBUSTH U
0002680157;EFV1727;2010;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0003430045;DMN5810;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0003430045;FGL2J78;2013;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0000341711;ELQ1E07;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0001180766;DKI5470;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000550570;FNF0D69;2013;D - Oníbus;Não;409428;VW/IBRAVA APOLLO
0000460654;DTA8970;2007;D - Oníbus;Não;411335;AGRALE/COMIL PIA O
0000610927;ELQ0839;2010;D - Oníbus;Não;464403;VW/MASCA GRANMICRO O
0021521116;EFV6B83;2011;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0001031753;EFU2637;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0006671018;GDM3H80;2015;D - Oníbus;Não;409432;AGRALE/ITALBUS NASCERE U
0000042334;EGI3459;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000401151;ELQ0F95;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000551669;DMN9779;2013;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0000041011;DMN6504;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000551676;EKC5957;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0024040122;EEF7759;2008;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0024010122;APD6866;2007;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0000190731;CLU5925;2006;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000041683;ECT3588;2008;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0000040542;GYQ0444;2008;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000220444;EJV7622;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000400535;DKI4580;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000101361;ELW2698;2011;D - Oníbus;Não;411333;VW/COMIL PIA O
0000192026;BNZ1E02;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0002380122;EUO9375;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000070269;ELW8A44;2011;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000040486;BPZ1086;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000281151;QHN5032;2015;D - Oníbus;Não;416065;IVECO/CITYCLASS 70C17
0000250458;CZC1C51;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000070990;EGI8670;2012;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000042131;DMN6900;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000131648;DMN8971;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000161291;HLF8J43;2011;D - Oníbus;Não;416060;IVECO/CITYCLASS 70C16
0000250535;DKI3585;2008;D - Oníbus;Não;464404;VW/MASCA GRANMINI O
0000220297;FPP3A80;2013;D - Oníbus;Não;415705;VW/NEOBUS THUNDER
0000042124;BUD2469;2010;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0000072124;FOQ9J68;2014;D - Oníbus;Não;409428;VW/IBRAVA APOLLO
0000130878;DTA6085;2006;D - Oníbus;Não;464403;VW/MASCA GRANMICRO O
0000970507;ERK9697;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000280367;FXL7488;2015;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0000251543;BWQ5691;2005;D - Oníbus;Não;416035;IVECO/CITYCLASS 6013 IF
0000130815;FFB6177;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000190458;DMN3306;2010;D - Oníbus;Não;400129;MARCOPOLO/VOLARE V6 ON
0000042187;DTD8019;2008;D - Oníbus;Não;400045;VOLKS/BUSSCAR MICRUSS O
0000520059;FQL7315;2018;D - Oníbus;Não;416630;MARCOPOLO/VOLARE V8L ON
0000072145;FDC2294;2014;D - Oníbus;Não;416630;MARCOPOLO/VOLARE V8L ON
0000160675;ELQ9851;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000130668;EKH0I83;2010;D - Oníbus;Não;416614;VW/MPOLO SENIOR ON
0000160010;DKI3009;2012;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0000190010;EMU5G15;2011;D - Oníbus;Não;400045;VOLKS/BUSSCAR MICRUSS O
0024640122;DTB7529;2007;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000070605;DTA2385;2007;D - Oníbus;Não;400129;MARCOPOLO/VOLARE V6 ON
0000460136;EOB2604;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000161697;DPF3463;2007;D - Oníbus;Não;463143;M.BENZ/INDUSCAR FOZ O LO
0000820535;DKI4155;2013;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000520710;DBA0212;2004;D - Oníbus;Não;400114;MARCOPOLO/VOLARE A6 ON
0001450535;EFW3504;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0003761018;EFZ9894;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0001600535;KPL3H63;2013;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0000280073;GJY6899;2017;D - Oníbus;Não;416630;MARCOPOLO/VOLARE V8L ON
0000430010;DKI2918;2012;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000100402;DJE5A01;2013;D - Oníbus;Não;409428;VW/IBRAVA APOLLO
0000102033;DPB9292;2009;D - Oníbus;Não;400129;MARCOPOLO/VOLARE V6 ON
0000102033;DTA8146;2007;D - Oníbus;Não;463119;VW/INDUSCAR MIL U OT
