IdCFC;NúmeroSala;Capacidade
0000100360;1;20
0000010367;1;20
0000340367;1;20
0000250381;1;20
0000160388;1;20
0000070402;1;20
0000310423;1;20
0000040437;1;20
0000010444;1;20
0000010458;1;20
0000250458;1;20
0000190486;1;20
0000310486;1;20
0000370486;1;20
0001000493;1;20
0001510493;1;20
0000400535;1;20
0001600535;1;20
0000070570;1;20
0000340570;1;20
0000430570;1;20
0000550570;1;20
0000580570;1;20
0000310577;1;20
0000370577;1;20
0000130584;1;20
0000190584;1;20
0000010598;1;20
0000070626;1;20
0000280626;1;20
0000340626;1;20
0000250633;1;20
0000370647;1;20
0001510661;1;20
0000220668;1;20
0000100675;1;20
0000040689;1;20
0000010696;1;20
0000070710;1;20
0000550710;1;20
0000670710;1;20
0000160724;1;20
0000400731;1;20
0000730003;1;20
0001450003;1;20
0002260003;1;20
0000370024;1;20
0000700024;1;20
0000730024;1;20
0000850031;1;20
0001390031;1;20
0001120045;1;20
0002710045;1;20
0003880045;1;20
0004420045;1;20
0000070052;1;20
0000340059;1;20
0000340073;1;20
0000700080;1;20
0003100087;1;20
0000640101;1;20
0001090101;1;20
0002920101;1;20
0009220101;1;20
0010030101;1;20
0003220108;1;20
0003370108;1;20
0164290108;1;20
0000340122;1;20
0006580122;1;20
0013810122;1;20
0027220122;1;20
0027520122;1;20
0027580122;1;20
0028360122;1;20
0028690122;1;20
0029260122;1;20
0032080122;1;20
0033340122;1;20
0036220122;1;20
0036310122;1;20
0036370122;1;20
0036940122;1;20
0036970122;1;20
0037180122;1;20
0037270122;1;20
0037300122;1;20
0037390122;1;20
0037480122;1;20
0037540122;1;20
0037720122;1;20
0037750122;1;20
0037810122;1;20
0038440122;1;20
0038890122;1;20
0001090129;1;20
0001090136;1;20
0000430143;1;20
0001630143;1;20
0001330164;1;20
0000040171;1;20
0000820171;1;20
0000820178;1;20
0000940178;1;20
0001240178;1;20
0001300178;1;20
0001780178;1;20
0001630003;1;21
0000400017;1;21
0001570031;1;21
0000160052;1;21
0000700059;1;21
0000850059;1;21
0000580066;1;21
0001000080;1;21
0001660087;1;21
0004150101;1;21
0001540122;1;21
0022330122;1;21
0026350122;1;21
0027130122;1;21
0029170122;1;21
0031540122;1;21
0036250122;1;21
0037840122;1;21
0040090122;1;21
0040780122;1;21
0040930122;1;21
0000250136;1;21
0002020136;1;21
0000040164;1;21
0001480164;1;21
0000520171;1;21
0000190206;1;21
0000580227;1;21
0004090241;1;21
0004150241;1;21
0000250255;1;21
0000370297;1;21
0000400374;1;21
0000130381;1;21
0000040409;1;21
0000010500;1;21
0000100528;1;21
0000250542;1;21
0000070577;1;21
0000850710;1;21
0000040787;1;21
0000430920;1;21
0000281004;1;21
0006101018;1;21
0000371046;1;21
0002921081;1;21
0000191130;1;21
0000041200;1;21
0000191277;1;21
0000191291;1;21
0001031515;1;21
0000101543;1;21
0000071599;1;21
0000161620;1;21
0001361662;1;21
0000881676;1;21
0012491690;1;21
0000101767;1;21
0003011795;1;21
0000251802;1;21
0000251816;1;21
0000101893;1;21
0001632033;1;21
0072252299;1;21
0000400024;1;22
0003550045;1;22
0017770122;1;22
0027280122;1;22
0027340122;1;22
0028090122;1;22
0029140122;1;22
0029770122;1;22
0032320122;1;22
0033070122;1;22
0036340122;1;22
0036520122;1;22
0037570122;1;22
0037660122;1;22
0040510122;1;22
0041020122;1;22
0041830122;1;22
0000730227;1;22
0004450241;1;22
0000070388;1;22
0000430444;1;22
0000040521;1;22
0002260535;1;22
0003520535;1;22
0000010605;1;22
0000310640;1;22
0000070724;1;22
0000070780;1;22
0000670976;1;22
0000940976;1;22
0002261018;1;22
0006401018;1;22
0000161053;1;22
0000131081;1;22
0000221081;1;22
0001061151;1;22
0000161172;1;22
0000071200;1;22
0000071235;1;22
0000221263;1;22
0000071277;1;22
0000071284;1;22
0000671389;1;22
0000731389;1;22
0051131515;1;22
0000281662;1;22
0001871662;1;22
0000011690;1;22
0000581718;1;22
0000131725;1;22
0001271774;1;22
0003131795;1;22
0000011809;1;22
0000341844;1;22
0000071949;1;22
0000281998;1;22
0000072019;1;22
0000402026;1;22
0001002082;1;22
0000162103;1;22
0000102152;1;22
0000042187;1;22
0000220024;1;23
0001270031;1;23
0004330045;1;23
0003220087;1;23
0003460101;1;23
0027820122;1;23
0035020122;1;23
0037600122;1;23
0040720122;1;23
0041680122;1;23
0042610122;1;23
0042730122;1;23
0000490346;1;23
0000400395;1;23
0000280416;1;23
0000250437;1;23
0000310465;1;23
0000010521;1;23
0003280535;1;23
0000010556;1;23
0000160563;1;23
0000280605;1;23
0000490654;1;23
0001090710;1;23
0000100724;1;23
0000220815;1;23
0000430927;1;23
0000370934;1;23
0000190962;1;23
0000191004;1;23
0000311004;1;23
0000161025;1;23
0000281025;1;23
0000341081;1;23
0000041263;1;23
0000281263;1;23
