IdCFC;Situacao;Média Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Número;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador;Média das avaliações: item Ensino;Média das avaliações: item Transparência;Média das avaliações: item Instalações;Média das avaliações: item Atendimento;Média das avaliações: item Agenda;Média das avaliações: item Preço;Média das avaliações: item Localização;Quantidade de avaliações;Nota média das avaliações
0000850661;Bloqueado;0;A E Sao Cristovao;Auto Escola Diferente Ii;02895255000195;Rua Heitor Penteado;140232;Centro;Americana;(011) 3627-7000;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000400017;Credenciado;77;A E Sao Francisco Ta;Auto Escola Vilela Ltda Me;09165886000106;Av Taruma;157;Vl Dos Estados;Taruma;(018) 3329-2662;Teorico e pratico;Nao;Nao;Nao;4.2;4.8;4.8;4.8;4.5;4.0;4.8;4;4.5
0006670122;Credenciado;62;A E Sao Judas Tadeu;Sales & Sales Ltda;47739511000193;R Cancoes Do Preludio;245;Itaim Paulista;Sao Paulo;(011) 2963-3571;Pratico;Nao;Nao;Sim;4.5;4.5;4.6;4.5;3.8;4.1;4.5;18;4.4
0001060206;Credenciado;60;A E Sao Judas Tadeu;Centro De Formacao De Condutores Bsjt Ltda;07088705000151;Rua Olegario Paiva;631;Centro;Mogi Das Cruzes;(011) 4796-7696;Pratico;Nao;Nao;Nao;5.0;5.0;4.5;4.5;4.5;4.5;4.5;2;4.6
0000192089;Credenciado;48;A E Sao Judas Tadeu;Cfc B Guararema Ltda Me;22509427000152;Rua Dezenove De Setembro;147;Centro;Guararema;(011) 4693-5564;Pratico;Nao;Nao;Nao;4.9;4.6;4.2;5.0;3.8;4.1;4.9;14;4.5
0000070136;Baixada;0;A E Sao Judas Tadeu;Auto Escola Sao Judas Tadeu S/c Ltda.;00000000000000;R Anizio Ortiz Monteiro;25;Centro;Taubate;(012) 2321-858;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0001720535;Bloqueado;0;A E Sao Judas Tadeu;C F C Direcao Veicular Sjudas Tadeu Sc Ltda;00000000000000;Av Jk;4695;Jd Paulista;Sao Jose Dos Campos;(012) 3922-2501;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000220626;Bloqueado;0;A E Sao Manuel;Cfc Sao Manuel Ltda Me;03876980000189;Av Elizeu Augusto Teixeira;89;Centro;Sao Manuel;(014) 6841-2461;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000730143;Credenciado;58;A E Sao Paulo;A E Sao Paulo Sc Ltda;02357249000184;Av Miguel Sabio De Mello;66;Parque Castelo;Franca;(016) 3721-1178;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0002890535;Credenciado;70;A E Sao Paulo;Centro De Form De Cond A/b Lima & Marques Ltda Me;11882017000136;Rua Das Papoulas;46;Jd Motorama;Sao Jose Dos Campos;(012) 3929-6241;Teorico e pratico;Sim;Nao;Nao;4.6;4.8;5.0;5.0;4.8;4.4;4.6;5;4.7
