IdCFC;Situacao;Média Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Número;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador;Média das avaliações: item Ensino;Média das avaliações: item Transparência;Média das avaliações: item Instalações;Média das avaliações: item Atendimento;Média das avaliações: item Agenda;Média das avaliações: item Preço;Média das avaliações: item Localização;Quantidade de avaliações;Nota média das avaliações
0000131361;Credenciado;80;Auto Esc S Francisco;Almeida Prestacao De Servicos Ltda;02265242000132;Rua Cel Francisco M Bonilha;554;Centro;Dourado;(016) 3345-1081;Teorico e pratico;Nao;Sim;Sim;--;--;--;--;--;--;--;0;--
0005980745;Credenciado;74;Auto Esc S Joaquim;Claudio Marcos Melon Me;52886488000108;Rua Minas Gerais;1595;Centro;Sao Joaquim Da Barra;(016) 3818-2200;Pratico;Nao;Nao;Nao;4.5;5.0;4.5;4.5;3.5;5.0;4.5;2;4.5
0000162187;Credenciado;76;Auto Esc Severinia;Centro De Formacao De Condutores Severinia Ltda Me;09066302000137;Rua Cap Augusto De Almeida;187;Centro;Severinia;(017) 3817-2056;Teorico e pratico;Nao;Nao;Sim;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0000400444;Credenciado;82;Auto Esc Sinal Verde;Auto Escola Sinal Juju Ltda Me;08043698000134;R Tuiuti;46;Centro;Mogi Mirim;(019) 3862-2900;Teorico e pratico;Nao;Nao;Nao;4.9;4.9;5.0;5.0;4.9;4.9;4.9;44;4.9
0000042348;Credenciado;83;Auto Esc Sinal Verde;Auto Moto Escola Sinal Verde Ltda Me;00646670000180;Rua Humaita Qd 52 C;20;Primavera;Rosana;(018) 3284-1675;Teorico e pratico;Nao;Sim;Sim;4.8;4.4;4.8;4.9;4.6;2.7;4.7;15;4.4
0000311711;Credenciado;74;Auto Esc Sinal Verde;Centro De Form De Cond Sinal Verde Ss Ltda;04821097000154;R Jose M De Castro Andrade;758;Centro;Teodoro Sampaio;(018) 3282-1553;Teorico e pratico;Nao;Sim;Sim;4.8;4.8;4.5;4.5;4.2;2.8;4.8;4;4.3
0003100241;Credenciado;64;Auto Esc Skina Ahb;Centro De Formacao De Condutores Baseggio Ltda Me;02443923000143;Rua Vicente Ribeiro;60;Parque N Mundo;Limeira;(019) 3442-5419;Pratico;Nao;Nao;Nao;4.8;4.8;4.6;5.0;4.6;4.8;4.8;5;4.8
0000400437;Credenciado;76;Auto Esc Sta Maria;Centro De Formacao De Condutores Sta Maria Sc Ltda;05673585000124;Rua Barao De Monte Santo;1714;Centro;Mococa;(019) 3656-2072;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4;5.0
0000460178;Credenciado;75;Auto Esc Sto Andre;Auto Escola Santo Andre;02602691000129;Rua Sao Joaquim;1375;Centro;Sao Carlos;(016) 2723-193;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000070528;Credenciado;83;Auto Esc Sto Antonio;Centro De Formacao De Condutores De Cajuru Sc Ltda;03493394000155;Rua Jose Bonifacio;1007;Centro;Cajuru;(016) 3667-1461;Teorico;Nao;Sim;Nao;4.8;4.2;3.8;4.8;4.2;3.2;4.4;5;4.2
0000010528;Credenciado;66;Auto Esc Sto Antonio;Centro De Form De Cond B Sto Antonio De C Ltda Me;12053202000180;Rua Jose Bonifacio;1007;Centro;Cajuru;(016) 3667-1461;Pratico;Nao;Nao;Sim;5.0;5.0;5.0;5.0;4.7;4.3;5.0;3;4.9
0000341599;Credenciado;69;Auto Esc Vinhedense;Auto Escola Tosto Mayer Ltda Me;09604693000104;Av Nossa Senhora De Lourdes;45;Capela;Vinhedo;(019) 3826-4606;Pratico;Nao;Nao;Nao;4.7;4.8;4.7;4.8;4.7;4.3;4.7;10;4.7
0000490234;Credenciado;78;Auto Esc Zona Leste;Centro De Formacao De Condutores Leury Ltda Me;07423251000128;Av Augusta Viola Da Costa;1488;Jose Ometto;Araras;(019) 3542-4141;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0000010920;Credenciado;66;Auto Esc. Braz Cubas;Centro De Formacao De Cond. Braz Cubas Ltda Me;07914743000116;Rua Marechal Deodoro;203;Centro;Suzano;(011) 4746-3514;Pratico;Nao;Nao;Nao;4.7;4.7;4.0;4.0;4.0;4.7;4.7;3;4.4
0000460920;Credenciado;63;Auto Esc. Dona Benta;C.f.c. B Dona Benta S/s Ltda;03966463000109;R Francisco Marengo;1852;Jd Dona Benta;Suzano;(011) 4749-8882;Pratico;Nao;Nao;Nao;4.5;4.5;4.1;4.7;4.5;3.8;4.6;10;4.4
0000730395;Credenciado;67;Auto Esc. Nova Visao;Oliveira E Oliveira Centro De Form De Cond. B Ltda;05772780000101;Avenida De Cillo;328;Centro;Santa Barbara Doeste;(019) 3455-5615;Pratico;Nao;Nao;Nao;4.8;4.7;4.5;5.0;3.5;4.5;4.8;6;4.5
0000100752;Credenciado;89;Auto Esc. Paraguacu;Auto Escola Paraguacu Ltda - Me;10361716000178;Rua Sete De Setembro;9082;Centro;Paraguacu Paulista;(018) 3361-6762;Pratico;Nao;Nao;Sim;4.9;5.0;4.6;4.9;4.9;4.3;4.4;7;4.7
0000041235;Credenciado;74;Auto Escola 14 De Ag;Centro De Formacao De Condutores 14 De Agosto Ltda;46824272000107;Rua Xv De Novembro;33;Centro;Apiai;(015) 3552-1161;Pratico;Nao;Sim;Sim;5.0;5.0;5.0;5.0;4.3;5.0;5.0;3;4.9
0000490626;Credenciado;73;Auto Escola A Melhor;Auto Escola A Melhor Ltda;22200185000110;Rua Irmas Campos Silveira;679;Centro;Sao Manuel;(014) 3842-1763;Pratico;Nao;Nao;Nao;5.0;4.6;4.6;4.6;4.4;5.0;4.6;5;4.7
0004090045;Credenciado;59;Auto Escola Abolicao;Zpm Centro De Formacao De Condutores Ltda Me;21105312000130;Rua Da Abolicao;2801;Vl Joaquim Inac;Campinas;(019) 3365-1850;Pratico;Nao;Nao;Sim;4.3;4.7;4.0;4.3;3.7;4.3;4.0;3;4.2
0000160927;Credenciado;64;Auto Escola Acoreana;Acoreana Centro De Formacao De Condut B Ltda Me;01502386000100;Av Nove De Julho;1412;Vila Acoreana;Poa;(011) 4638-1300;Pratico;Sim;Nao;Sim;4.9;4.9;4.6;4.9;4.5;4.6;4.6;17;4.7
0000550094;Credenciado;70;Auto Escola Acorse;Centro De Formacao De Condutores Acorse S/c Ltda;05118288000117;Av Cel Jose Soares Marcondes;3211;Jd Bongiovani;Presidente Prudente;(018) 3908-1228;Pratico;Nao;Nao;Nao;4.0;4.0;5.0;5.0;5.0;5.0;4.0;1;4.6
0000460136;Credenciado;61;Auto Escola Ademar;Centro De Formacao Condutores B Ademar S/c Ltda.;96487640000147;R Conselheiro Moreira Barros;154;Centro;Taubate;(012) 3633-1421;Teorico e pratico;Nao;Sim;Sim;4.4;3.7;3.4;3.7;3.1;4.6;3.6;10;3.8
0000040157;Credenciado;63;Auto Escola Ademir;Ademir Auto Moto Escola Sc Ltda Me;10373509000133;Rua Carneiro De Campos;45;Jd Estela;Santo Andre;(011) 3627-7000;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000670010;Credenciado;82;Auto Escola Adriano;Centro De Formacao De Condutores Adriano Ltdame;07446301000192;Alameda Paulista;735;Jd Silvania;Araraquara;(016) 3339-3947;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0000040472;Credenciado;81;Auto Escola Adtina;Auto Escola Adamantina S/s Ltda;01685540000119;Av Santo Antonio;366;Centro;Adamantina;(018) 3521-1855;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0001720045;Credenciado;59;Auto Escola Advance;Advance Bg Centro Formacao Condutores Ltda - Epp;02711504000145;Av Santa Isabel;325;Barao Geraldo;Campinas;(019) 3289-9499;Teorico e pratico;Nao;Sim;Sim;4.8;4.5;4.5;4.2;4.2;4.0;4.2;4;4.4
0002140115;Credenciado;88;Auto Escola Afonso;Marcus Vinicius Afonso & Cia Ltda;18541067000280;R Raul De Carvalho;2166;Boa Vista;Sao Jose Do Rio Preto;(017) 3304-0777;Teorico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000131417;Credenciado;65;Auto Escola Afonso;Marcus Vinicius Afonso Me;18541067000107;Av Maestro Antonio Amato;808;Centro;Potirendaba;(017) 3249-2536;Teorico e pratico;Nao;Sim;Sim;4.0;4.0;4.0;4.0;4.0;3.0;2.0;1;3.6
0004180045;Credenciado;65;Auto Escola Agiliza;Auto Escola Agiliza Ltda - Me;27851053000172;Av Carlos Lacerda;26;Jd Sta Lucia;Campinas;(019) 3305-1140;Teorico e pratico;Nao;Sim;Sim;5.0;5.0;5.0;5.0;5.0;4.0;5.0;1;4.9
0011440122;Credenciado;62;Auto Escola Aguia Branca Ltda;Auto Escola Aguia Branca Ltda;45014529000100;Av Isarael Fonseca;521;Sapopemba;Sao Paulo;(011) 2703-5799;Teorico e pratico;Nao;Sim;Sim;4.7;4.7;4.8;4.8;4.7;4.3;4.8;27;4.7
0005170122;Credenciado;58;Auto Escola Aguia Ltda;Auto Escola Aguia Ltda;47883988000148;Rua Dr Artur Fajardo;44;Freguesia Do O;Sao Paulo;(011) 3975-1876;Pratico;Nao;Nao;Sim;3.8;3.4;3.7;3.3;2.8;3.7;4.4;12;3.6
0024730122;Credenciado;62;Auto Escola Aguia S/c Ltda;Auto Escola Aguia S/c Ltda;47883988000300;Av Itaberaba;2426;V Bancaria;Sao Paulo;(011) 3972-8517;Pratico;Nao;Nao;Sim;3.7;3.1;2.7;3.1;1.9;3.0;4.4;7;3.1
0000430010;Credenciado;82;Auto Escola Alameda;Centro De Formacao De Condutores Alameda;04642033000196;Av Alameda Paulista;1416;Vl Xavier;Araraquara;(016) 2372-588;Pratico;Nao;Nao;Nao;4.0;4.0;4.0;4.0;3.5;4.0;4.0;2;3.9
0019662138;Credenciado;68;Auto Escola Alemao;Sebastiao Michelim Junior Auto Escola Me;17515609000104;Av Princesa Isabel;2922;Barra Velha;Ilhabela;(012) 3895-8255;Pratico;Nao;Nao;Sim;4.9;4.9;4.8;5.0;5.0;4.8;5.0;8;4.9
0014140122;Credenciado;62;Auto Escola Alencar S/c Ltda Me;Auto Escola Alencar S/c Ltda Me;55594477000134;Av Pires Dorio;2419;Sao Miguel Pta;Sao Paulo;(011) 2052-5155;Pratico;Nao;Nao;Sim;4.7;4.7;4.7;5.0;5.0;4.3;5.0;3;4.8
0000191018;Credenciado;63;Auto Escola Alfa;Auto Escola Cometas Ltda;49086911000172;R Nossa Senhora Mae Dos Homens;244;Vl Progresso;Guarulhos;(011) 2229-0388;Teorico e pratico;Nao;Sim;Sim;4.4;4.4;4.1;4.4;4.2;4.2;4.3;33;4.3
0000880164;Credenciado;58;Auto Escola Alfa;Centro De Formacao De Condutores B Rio Branco;00708988000148;Rua Tiradentes;857;Jd Florestal;Jundiai;(011) 4521-8386;Pratico;Nao;Nao;Sim;4.9;4.3;4.1;4.6;4.7;4.3;4.7;7;4.5
0002980598;Credenciado;79;Auto Escola Alfa;Auto Escola Alfa Ltda;58296047000124;Rua Hum;179;Centro;Orlandia;(000) 8261-819;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0011650122;Credenciado;64;Auto Escola Alfa Ltda Me;Auto Escola Alfa Ltda Me;68478502000166;Estrada Do Campo Limpo;1394;Campo Limpo;Sao Paulo;(011) 5513-6200;Pratico;Nao;Nao;Sim;4.8;4.8;4.8;5.0;4.7;4.2;4.8;6;4.7
0000790150;Credenciado;79;Auto Escola Alianca;Auto Escola Alianca Ltda;18068351000108;R Eugenio Donato;30;Chavantes Novo;Chavantes;(014) 3342-2991;Teorico e pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0000011354;Credenciado;66;Auto Escola Alianca;Delatorre E Signorini Ltda Me;03124019000138;Rua Gotard;300;Centro;Nova Alianca;(017) 3811-1414;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;4.0;5.0;1;4.9
0000100262;Credenciado;60;Auto Escola Aline Ltda;Auto Escola Aline Ltda;03700306000149;Rua Floriano Peixoto;552;C E N T R O;Jaboticabal;(016) 3224-604;Pratico;Sim;Nao;Nao;4.8;4.8;4.9;4.7;4.2;4.4;4.4;11;4.6
0002680157;Credenciado;49;Auto Escola Alma;Alma Centro De Formacao De Condutores Ltda Me;09125607000172;R General Glicerio;881;Centro;Santo Andre;(011) 4436-7970;Pratico;Nao;Nao;Sim;4.5;4.4;4.2;4.5;3.8;4.1;4.5;14;4.3
0012790122;Credenciado;61;Auto Escola Almeida Ltda;Auto Escola Almeida Ltda;54282991000171;R Rafael Correia Da Silva;280;Itam Paulista;Sao Paulo;(011) 2561-1916;Pratico;Nao;Nao;Sim;4.9;4.9;4.9;4.9;4.8;4.9;4.9;9;4.9
0000460997;Credenciado;79;Auto Escola Alves;Auto Escola C.f.c. Alves Ltda - Me;20089990000193;Rua Siqueira Campos;296;Centro;Mogi Guacu;(019) 3811-8861;Pratico;Nao;Nao;Nao;5.0;5.0;4.7;5.0;5.0;4.7;5.0;3;4.9
0000072180;Credenciado;75;Auto Escola Alvorada;Giacomini & Cia Auto Escola Ltda;03898695000169;Rua Joao Basilio;542;Centro;Arealva;(014) 3296-2424;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000010087;Credenciado;63;Auto Escola Alvorada;Centro De Formacao De Condutores Alvorada Ltda Me;08601595000142;Av. Carlos Martins Sodero;273;V Independencia;Piracicaba;(019) 3434-7021;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;4.8;4.8;4;4.9
0000640059;Credenciado;68;Auto Escola Alvorada;Everson J Santos E Cia Ltda Me;05453664000120;Rua Sao Francisco;321;Centro;Guaratingueta;(012) 3132-1141;Pratico;Nao;Nao;Sim;5.0;4.3;4.0;5.0;4.3;4.3;4.7;3;4.5
0000310654;Credenciado;62;Auto Escola Alvorada;Auto Escola Alvorada S/s Ltda;07008123000118;Rua Nesralla Rubez;408;Centro;Cruzeiro;(012) 3143-5548;Pratico;Nao;Nao;Sim;5.0;5.0;4.8;5.0;5.0;4.8;5.0;9;4.9
0000101361;Credenciado;81;Auto Escola Alvorada;Auto Escola Alvorada S/c Ltda;00920056000164;Rua Braulio Modesto De Abreu;125;Jd Primavera;Dourado;(016) 3345-1503;Teorico e pratico;Nao;Sim;Nao;4.8;4.6;4.5;4.6;4.2;4.6;4.8;5;4.6
0000130801;Credenciado;78;Auto Escola Amabile;Centro De Formacao De Condutores Amabile Ltda Me;05951800000101;Av Jose Bonifacio;134;Centro;Regente Feijo;(018) 3279-1869;Teorico e pratico;Nao;Sim;Nao;4.6;4.6;4.4;4.6;4.8;3.8;4.8;5;4.5
0000280801;Credenciado;87;Auto Escola Amabile;Centro De Formacao De Condutores Amabile Ltda;05951800000292;Rua Rui Barbosa;116;Centro;Taciba;(018) 3279-2192;Teorico e pratico;Nao;Sim;Nao;--;--;--;--;--;--;--;0;--
0000011914;Credenciado;71;Auto Escola Amanda;Centro De Formacao De Cond Amanda Asapin Ltda Me;71754329000196;Av Dr Fernando Arens;664;Centro;Artur Nogueira;(019) 3877-3431;Teorico e pratico;Nao;Nao;Sim;4.8;4.4;4.6;4.6;4.4;4.6;4.4;5;4.5
0000251648;Credenciado;61;Auto Escola America;Guilherme Augusto Barbosa Arantes Epp;11311860000243;R Dr Pedro De Toledo;20;Centro;Santa Isabel;(011) 4680-0198;Pratico;Nao;Nao;Nao;4.8;4.2;4.3;4.7;3.6;3.9;4.7;20;4.3
0000281557;Credenciado;62;Auto Escola America;Centro De Formacao De Condutores America Ltda Me;01067513000182;Rua Barao De Maua;244;Vila Olivo;Valinhos;(019) 3871-6718;Pratico;Nao;Nao;Nao;5.0;5.0;4.8;5.0;4.8;4.8;4.8;4;4.9
0000191557;Credenciado;64;Auto Escola Amigos;Auto Escola Amigos Ltda;02364527000120;Rua Candido Ferreira;466;Vila Bissoto;Valinhos;(019) 3871-0972;Teorico e pratico;Nao;Sim;Nao;4.0;4.0;4.0;4.0;5.0;4.5;5.0;2;4.4
0000010094;Credenciado;68;Auto Escola Amiguinho Sc Ltda Me;Auto Escola Amiguinho Sc Ltda Me;64612492000159;Rua Djalma Dutra;151;Centro;Presidente Prudente;(018) 3222-4435;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000011823;Credenciado;80;Auto Escola Angatuba;Auto Escola Angatuba Ltda Me;58977679000153;Rua Major Pereira De Moraes;786;Centro;Angatuba;(015) 3255-1036;Teorico e pratico;Nao;Sim;Sim;4.9;4.9;4.8;4.9;4.3;4.4;4.8;10;4.7
0009940122;Credenciado;62;Auto Escola Angela Ltda Me;Auto Escola Angela Ltda Me;54103841000153;Est M Boi Mirim;4013;Jd Sonia;Sao Paulo;(011) 5831-3212;Pratico;Nao;Nao;Sim;4.4;4.4;4.0;4.6;3.9;3.9;4.2;16;4.2
